Beat,Ward,Community Area,Day_sin,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Day Time_Afternoon,Day Time_Early Morning,Day Time_Morning,Day Time_Night,Domestic_tag,IUCR_freq,Primary_Type_freq,Location_Description_freq,FBI_Code_freq,Crime_District_freq,Nearest_Police_Station_District_freq,Nearest_Police_Station_District_Name_freq,X Coordinate_standardized,Y Coordinate_standardized,Latitude_standardized,Longitude_standardized,Distance Crime To Police Station_standardized,Arrest_tag
2234,21,75,-2.4492935982947064e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0599656854432463,0.1117317878482578,0.2733992359026025,0.1117317878482578,0.0311075422198725,0.0273269558798591,0.0273269558798591,0.2586094789924863,-1.8041189595314655,-1.8012211874363506,0.0090567906669132,-0.7366886408234705,0
2422,49,1,-0.7818314824680299,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0712974693014394,0.2280521501461361,0.1925355863898891,0.2310895869285479,0.0338706620514917,0.0386437769952817,0.0386437769952817,0.0489548863850916,1.9629584464627745,1.9588056781706136,-0.0454050520604762,0.2721962926730255,0
133,4,35,-0.7818314824680299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0748835399854362,0.2280521501461361,0.2733992359026025,0.2310895869285479,0.0557860926293529,0.0227483565920857,0.0227483565920857,0.873386567700313,-0.0787098054833252,-0.0819590799654817,0.8855476896091663,-0.6917721329034799,0
834,18,70,0.4338837391175582,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0712974693014394,0.2280521501461361,0.0033167413141278,0.2310895869285479,0.067287454238945,0.0663348262825564,0.0663348262825564,-0.5394226243186265,-1.2204507084288694,-1.2156537464940718,-0.7745580100538958,1.5120888016082514,0
832,16,66,-0.7818314824680299,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0475665592674241,0.1117317878482578,0.1925355863898891,0.1117317878482578,0.067287454238945,0.042204909774661,0.042204909774661,-0.2441544469689358,-0.8654976452718859,-0.8625604808659029,0.1573243452940748,0.3584210253855617,0
313,20,42,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0599656854432463,0.1117317878482578,0.2733992359026025,0.1117317878482578,0.051571586748995,0.0944747578529461,0.0944747578529461,1.144784098583672,-0.7411264454082527,-0.7441559811591739,1.228325543638219,0.0700905000990942,0
321,6,42,-2.4492935982947064e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0799658849464832,0.1797075282546459,0.1214376203253897,0.1492034833265169,0.051571586748995,0.0944747578529461,0.0944747578529461,1.0575668011588832,-0.8760649260539907,-0.8784335084198361,1.228325543638219,-2.1655187087806587,0
1934,44,6,0.4338837391175582,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0623098484772915,0.1797075282546459,0.0538259733264172,0.1492034833265169,0.0526888048758591,0.0481151931690091,0.0481151931690091,0.3980091198553024,1.0617971934187993,1.0581367751123298,0.3394206310278543,-0.7254346546045394,0
2424,49,1,-2.4492935982947064e-16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0588434797354587,0.0913774700994523,0.1925355863898891,0.0762650999012459,0.0338706620514917,0.0386437769952817,0.0386437769952817,-0.1964748352932912,1.8944925913356048,1.891456006080062,-0.0454050520604762,-0.3014340002271291,0
932,16,61,0.9749279121818236,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0623098484772915,0.1797075282546459,0.1214376203253897,0.1492034833265169,0.0438707618031102,0.042204909774661,0.042204909774661,0.0422316293700266,-0.5945449727630701,-0.5932924841844193,0.1573243452940748,0.0989673281627838,0
