Beat,Ward,Community Area,X Coordinate,Y Coordinate,Latitude,Longitude,Distance Crime To Police Station,Day_sin,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Day Time_Afternoon,Day Time_Early Morning,Day Time_Morning,Day Time_Night,Domestic_tag,IUCR_freq,Primary_Type_freq,Location_Description_freq,FBI_Code_freq,Crime_District_freq,Nearest_Police_Station_District_freq,Nearest_Police_Station_District_Name_freq,Arrest_tag
132,34,33,1177854.0,1894918.0,41.866977138,-87.62735617,6.943977451213916,-0.433883739117558,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0799658849464832,0.1797075282546459,0.1925355863898891,0.1492034833265169,0.0557860926293529,0.0349978553402028,0.0349978553402028,0
1111,28,25,1144667.0,1904545.0,41.8940842,-87.76819989,7.836868791497796,-0.433883739117558,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0100998513700884,0.0661053975600754,0.0066384702091791,0.0730231723009705,0.0531476623208211,0.0370776765853025,0.0370776765853025,0
1211,36,24,1158237.0,1905655.0,41.89686361,-87.69745182,7.903338814298711,0.7818314824680298,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0032219772765813,0.0661053975600754,0.2733992359026025,0.0730231723009705,0.0624594759049965,0.0592973495994972,0.0592973495994972,0
331,5,42,1190782.0,1860948.0,41.773458079,-87.60574786,7.855629455952298,0.7818314824680298,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0192221368791708,0.031022753344173,0.0071671537870701,0.0317958283873155,0.051571586748995,0.0944747578529461,0.0944747578529461,0
2031,40,4,1156807.0,1932779.0,41.971322914,-87.69284451,6.945863637010665,0.4338837391175582,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0128779339444782,0.0620105936218815,0.0040997915191173,0.0555915769733363,0.0220201697772546,0.0224391265748286,0.0224391265748286,0
422,7,46,1193909.0,1852527.0,41.750274105,-87.60574786,8.252156268829562,-0.7818314824680299,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0087133038733553,0.0661053975600754,0.1925355863898891,0.0730231723009705,0.0537960478408762,0.0944747578529461,0.0944747578529461,0
1124,27,27,1157560.0,1898567.0,41.877427291,-87.70548813,6.719910208567926,0.9749279121818236,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0128779339444782,0.0620105936218815,0.1925355863898891,0.0555915769733363,0.0531476623208211,0.0565442049297249,0.0565442049297249,0
1633,30,15,1138604.0,1926047.0,41.95320015,-87.76614884,7.750138959547109,-0.7818314824680299,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0019501441410886,0.1797075282546459,0.0039252261867948,0.0320452074334906,0.0353868866522359,0.0275364342786461,0.0275364342786461,0
1234,25,31,1162480.0,1890388.0,41.854881827,-87.65697251,7.624287495081316,-0.7818314824680299,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0115462498379036,0.0191074225179303,0.0123741882712047,0.0730231723009705,0.0624594759049965,0.0319155303294795,0.0319155303294795,0
2533,37,25,1144311.0,1910210.0,41.909636288,-87.76557448,7.578680242238453,-2.4492935982947064e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0446737623317938,0.2280521501461361,0.0353569611666949,0.2310895869285479,0.0517062514339295,0.0503945176510488,0.0503945176510488,0
